ticker,exchange
FDTX,NasdaqGM
FDUS,NasdaqGS
FEAT,NasdaqGM
FEBO,NasdaqCM
FEM,NasdaqGM
FEMB,NasdaqGM
FEMS,NasdaqGM
FEP,NasdaqGM
FEPI,NasdaqGM
FERAR,NasdaqGM
FERAU,NasdaqGM
FEUZ,NasdaqGM
FEX,NasdaqGM
FFAIW,NasdaqCM
FFUT,NasdaqGM
FGBIP,NasdaqGM
FGIIU,NasdaqGM
FGIWW,NasdaqCM
FGM,NasdaqGM
FGMCR,NasdaqGM
FGMCU,NasdaqGM
FGNXP,NasdaqGM
FGSI,NasdaqGM
FICS,NasdaqGM
FID,NasdaqGM
FIGG,NasdaqGM
FIGXU,NasdaqGM
FIGXW,NasdaqGM
FINX,NasdaqGM
FITBI,NasdaqGS
FITBM,NasdaqGS
FITBO,NasdaqGS
FITBP,NasdaqGS
FIVY,NasdaqGM
FIXD,NasdaqGM
FJP,NasdaqGM
FKU,NasdaqGM
FLD,NasdaqCM
FLDB,NasdaqGM
FLDDW,NasdaqCM
FLN,NasdaqGM
FLUX,NasdaqCM
FMB,NasdaqGM
FMED,NasdaqGM
FMET,NasdaqGM
FMHI,NasdaqGM
FMSTW,NasdaqCM
FMTM,NasdaqGM
FMUB,NasdaqGM
FMUN,NasdaqGM
FNK,NasdaqGM
FNX,NasdaqGM
FNY,NasdaqGM
FOXX,NasdaqCM
FOXXW,NasdaqCM
FPA,NasdaqGM
FPXE,NasdaqGM
FPXI,NasdaqGM
FRDD,NasdaqGM
FRDU,NasdaqGM
FRMEP,NasdaqGS
FRPH,NasdaqGS
FRSX,NasdaqCM
FRWD,NasdaqGM
FSCS,NasdaqGM
FSGS,NasdaqGM
FSHPR,NasdaqGM
FSHPU,NasdaqGM
FSZ,NasdaqGM
FTA,NasdaqGM
FTAG,NasdaqGM
FTAIM,NasdaqGS
FTAIN,NasdaqGS
FTC,NasdaqGM
FTCS,NasdaqGM
FTDS,NasdaqGM
FTGC,NasdaqGM
FTGS,NasdaqGM
FTHI,NasdaqGM
FTHM,NasdaqCM
FTQI,NasdaqGM
FTRE,NasdaqGS
FTRI,NasdaqGM
FTSL,NasdaqGM
FTSM,NasdaqGM
FTXG,NasdaqGM
FTXH,NasdaqGM
FTXL,NasdaqGM
FTXN,NasdaqGM
FTXO,NasdaqGM
FTXR,NasdaqGM
FUFUW,NasdaqCM
FULTP,NasdaqGS
FUND,NasdaqGS
FUSEW,NasdaqCM
FUTG,NasdaqGM
FUTU,NasdaqGM
FV,NasdaqGM
FVC,NasdaqGM
FVNNR,NasdaqCM
FVNNU,NasdaqCM
FWONA,NasdaqGS
FWONK,NasdaqGS
FYC,NasdaqGM
FYT,NasdaqGM
FYX,NasdaqGM
GAING,NasdaqGS
GAINI,NasdaqGS
GAINN,NasdaqGS
GAINZ,NasdaqGS
GAME,NasdaqCM
GARY,NasdaqGM
GBDC,NasdaqGS
GBFH,NasdaqCM
GBUG,NasdaqGM
GCL,NasdaqGS
GCLWW,NasdaqGS
GDEVW,NasdaqGM
GDFN,NasdaqGM
GDHG,NasdaqCM
GDRX,NasdaqGS
GDS,NasdaqGM
GDYN,NasdaqCM
GECC,NasdaqGM
GECCG,NasdaqGM
GECCH,NasdaqGM
GECCI,NasdaqGM
GECCO,NasdaqGM
GEGGL,NasdaqGM
GEME,NasdaqGM
GEMG,NasdaqGM
GENVR,NasdaqGM
GEVG,NasdaqGM
GEW,NasdaqGM
GFAIW,NasdaqCM
GFGF,NasdaqGM
GFLW,NasdaqGM
GGLL,NasdaqGM
GGLS,NasdaqGM
GGROW,NasdaqCM
GIBO,NasdaqCM
GIBOW,NasdaqCM
GIGGU,NasdaqGM
GIGGW,NasdaqGM
GIND,NasdaqGM
GINX,NasdaqGM
GIPR,NasdaqCM
GIPRW,NasdaqCM
GIWWR,NasdaqGM
GIWWU,NasdaqGM
GIXXU,NasdaqGM
GKAT,NasdaqGM
GLAD,NasdaqGS
GLCR,NasdaqGM
GLDB,NasdaqGM
GLDI,NasdaqGM
GLDY,NasdaqGM
GLGG,NasdaqGM
GLIBA,NasdaqGS
GLIBK,NasdaqGS
GLOO,NasdaqGS
GLOW,NasdaqGM
GMHS,NasdaqCM
GNLN,NasdaqCM
GNMA,NasdaqGM
GNOM,NasdaqGM
GOOD,NasdaqGS
GOODN,NasdaqGS
GOODO,NasdaqGS
GOU,NasdaqGM
GOVI,NasdaqGM
GPACU,NasdaqGM
GPACW,NasdaqGM
GPATU,NasdaqGM
GPATW,NasdaqGM
GPIQ,NasdaqGM
GPIX,NasdaqGM
GPRF,NasdaqGM
GPT,NasdaqGM
GQQQ,NasdaqGM
GRAB,NasdaqGS
GRABW,NasdaqGS
GRAG,NasdaqGM
GREE,NasdaqGS
GREEL,NasdaqGS
GRID,NasdaqGM
GRIN,NasdaqGM
GRRRW,NasdaqCM
GRW,NasdaqGM
GSGO,NasdaqGM
GSHRU,NasdaqGM
GSHRW,NasdaqGM
GSIB,NasdaqGM
GSRFR,NasdaqGM
GSRFU,NasdaqGM
GTEN,NasdaqGM
GTENU,NasdaqGM
GTENW,NasdaqGM
GTERR,NasdaqGM
GTERU,NasdaqGM
GTERW,NasdaqGM
GTOP,NasdaqGM
GTPE,NasdaqGM
GTR,NasdaqGM
GUSE,NasdaqGM
GV,NasdaqCM
GVH,NasdaqCM
GVLE,NasdaqGM
GXDW,NasdaqGM
HACQU,NasdaqGM
HAVAR,NasdaqGM
HAVAU,NasdaqGM
HBANL,NasdaqGS
HBANM,NasdaqGS
HBANP,NasdaqGS
HBANZ,NasdaqGS
HBDC,NasdaqGM
HBNB,NasdaqCM
HBR,NasdaqGM
HCACR,NasdaqGM
HCACU,NasdaqGM
HCHL,NasdaqCM
HCICU,NasdaqGM
HCMAU,NasdaqGM
HCMAW,NasdaqGM
HCOW,NasdaqGM
HDL,NasdaqGM
HEAL,NasdaqGM
HECO,NasdaqGM
HEQQ,NasdaqGM
HERD,NasdaqGM
HERO,NasdaqGM
HERZ,NasdaqCM
HFSP,NasdaqGM
HIDE,NasdaqGM
HIHO,NasdaqCM
HIMZ,NasdaqGM
HIND,NasdaqCM
HISF,NasdaqGM
HLAL,NasdaqGM
HMR,NasdaqCM
HMYY,NasdaqGM
HNDL,NasdaqGM
HNNAZ,NasdaqGM
HODU,NasdaqGM
HOLOW,NasdaqCM
HON,NasdaqGS
HOOG,NasdaqGM
HOOX,NasdaqGM
HOVNP,NasdaqGM
HOVRW,NasdaqCM
HOYY,NasdaqGM
HPAIW,NasdaqCM
HQGO,NasdaqGM
HRMY,NasdaqGM
HRTS,NasdaqGM
HSCSW,NasdaqCM
HSPTR,NasdaqGM
HSPTU,NasdaqGM
HTCO,NasdaqCM
HTZ,NasdaqGS
HTZWW,NasdaqGS
HUBCW,NasdaqCM
HUBCZ,NasdaqCM
HUDI,NasdaqCM
HUHU,NasdaqCM
HUMAW,NasdaqGS
HUTG,NasdaqGM
HVIIR,NasdaqGM
HVIIU,NasdaqGM
HVMCU,NasdaqGM
HVMCW,NasdaqGM
HWAY,NasdaqGM
HWCPZ,NasdaqGS
HWH,NasdaqCM
HWSM,NasdaqGM
HXHX,NasdaqCM
HYBI,NasdaqGM
HYDR,NasdaqGM
HYFM,NasdaqCM
HYFT,NasdaqCM
HYLS,NasdaqGM
HYP,NasdaqGM
HYXF,NasdaqGM
HYZD,NasdaqGM
IACOU,NasdaqGM
IALT,NasdaqGM
IART,NasdaqGS
IBACR,NasdaqGM
IBAT,NasdaqGM
IBB,NasdaqGM
IBBQ,NasdaqGM
IBGA,NasdaqGM
IBGB,NasdaqGM
IBGK,NasdaqGM
IBGL,NasdaqGM
IBIT,NasdaqGM
IBOC,NasdaqGS
IBOT,NasdaqGM
IBTG,NasdaqGM
IBTH,NasdaqGM
IBTI,NasdaqGM
IBTJ,NasdaqGM
IBTK,NasdaqGM
IBTL,NasdaqGM
IBTM,NasdaqGM
IBTO,NasdaqGM
IBTP,NasdaqGM
IBTQ,NasdaqGM
ICFI,NasdaqGS
ICHR,NasdaqGS
ICLN,NasdaqGM
ICOP,NasdaqGM
ICUCW,NasdaqCM
IDEF,NasdaqGM
IDVY,NasdaqGM
IEAGU,NasdaqGM
